Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type,Location of Breached Information,Business Associate Present,Breach Submission Time,Breach Submission Datetime,Year,,
"Covenant Care California, LLC, on behalf of Wagner Heights Nursing and Rehabilitation Center",CA,Healthcare Provider,4676,5/6/2022,Hacking/IT Incident,Email,No,12:00:00 AM,5/6/2022 0:00,2022,,
"CareSource, Inc",OH,Health Plan,959,5/6/2022,Unauthorized Access/Disclosure,Laptop,Yes,12:00:00 AM,5/6/2022 0:00,2022,,
"Guardian Pharmacy of Cincinnati LLC dba Mullaney’s, A Guardian Pharmacy",OH,Healthcare Provider,1720,5/6/2022,Unauthorized Access/Disclosure,Email,No,12:00:00 AM,5/6/2022 0:00,2022,,
"Optum, Inc.",MN,Business Associate,1584,5/6/2022,Unauthorized Access/Disclosure,Paper/Films,Yes,12:00:00 AM,5/6/2022 0:00,2022,,
SAC Health System,CA,Healthcare Provider,149940,5/5/2022,Theft,Paper/Films,No,12:00:00 AM,5/5/2022 0:00,2022,,
Greater Nashua Mental Health,NH,Healthcare Provider,1085,5/4/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,5/4/2022 0:00,2022,,
Vail Health Services,CO,Healthcare Provider,41889,5/4/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,5/4/2022 0:00,2022,,
Thompson Child & Family Focus,NC,Healthcare Provider,986,5/3/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,5/3/2022 0:00,2022,,
"Shutterfly, LLC",CA,Business Associate,2641,5/3/2022,Loss,Paper/Films,Yes,12:00:00 AM,5/3/2022 0:00,2022,,
FPS Medical Center,AZ,Healthcare Provider,28024,5/2/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,5/2/2022 0:00,2022,,
"National Imaging Associates, Inc.",MD,Business Associate,744,5/2/2022,Unauthorized Access/Disclosure,Laptop,Yes,12:00:00 AM,5/2/2022 0:00,2022,,
Methodist Le Bonheur Healthcare,TN,Healthcare Provider,1370,5/2/2022,Unauthorized Access/Disclosure,Desktop Computer,No,12:00:00 AM,5/2/2022 0:00,2022,,
Ad Astra Eye LLC,KS,Healthcare Provider,3684,4/29/2022,Hacking/IT Incident,Electronic Medical Record,Yes,12:00:00 AM,4/29/2022 0:00,2022,,
Salusive Health Inc. MyNurse,CA,Healthcare Provider,1072,4/29/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,4/29/2022 0:00,2022,,
Refuah Health Center,NY,Healthcare Provider,260740,4/29/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,4/29/2022 0:00,2022,,
"Frank Eye Center, P.A.",KS,Healthcare Provider,26333,4/29/2022,Hacking/IT Incident,Electronic Medical Record,Yes,12:00:00 AM,4/29/2022 0:00,2022,,
"Arkfeld, Parson, and Goldstein, P.C. doing business as ilumin",NE,Healthcare Provider,14984,4/29/2022,Hacking/IT Incident,Electronic Medical Record,Yes,12:00:00 AM,4/29/2022 0:00,2022,,
The People Concern,CA,Healthcare Provider,7600,4/28/2022,Hacking/IT Incident,Email,No,12:00:00 AM,4/28/2022 0:00,2022,,
"Northern Eye Care Associates, P.C.",MI,Healthcare Provider,8000,4/28/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,4/28/2022 0:00,2022,,
"Sterling Healthcare Holdings, LLC DBA Cordant Health Solutions",CO,Healthcare Provider,500,4/28/2022,Hacking/IT Incident,Email,No,12:00:00 AM,4/28/2022 0:00,2022,,
Affiliated Eye Surgeons,MI,Healthcare Provider,23400,4/28/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,4/28/2022 0:00,2022,,
"Allied Eye Physicians and Surgeons, Inc.",OH,Healthcare Provider,20651,4/27/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,4/27/2022 0:00,2022,,
Southern Ohio Medical Center,OH,Healthcare Provider,15136,4/26/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,4/26/2022 0:00,2022,,
"Select Benefits Group, LLC dba Dental Select",UT,Business Associate,1035,4/26/2022,Hacking/IT Incident,Email,Yes,12:00:00 AM,4/26/2022 0:00,2022,,
Montefiore Medical Center,NY,Healthcare Provider,3717,4/22/2022,Unauthorized Access/Disclosure,Electronic Medical Record,No,12:00:00 AM,4/22/2022 0:00,2022,,
The Mental Health Center of Greater Manchester,NH,Healthcare Provider,1322,4/22/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,4/22/2022 0:00,2022,,
"Illinois Gastroenterology Group, PLLC",IL,Healthcare Provider,227943,4/22/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,4/22/2022 0:00,2022,,
"National Imaging Associates, Inc.",MD,Business Associate,616,4/22/2022,Unauthorized Access/Disclosure,Laptop,Yes,12:00:00 AM,4/22/2022 0:00,2022,,
"Homestead Bldg Sys,Inc.Health Plan",VA,Health Plan,727,4/21/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,4/21/2022 0:00,2022,,
The Energy Cooperative Group Benefits Plan,OH,Health Plan,875,4/21/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,4/21/2022 0:00,2022,,
County of Los Angeles Department of Mental Health,CA,Healthcare Provider,5129,4/20/2022,Hacking/IT Incident,Email,No,12:00:00 AM,4/20/2022 0:00,2022,,
"Healthplex, Inc.",NY,Health Plan,89955,4/20/2022,Hacking/IT Incident,Email,No,12:00:00 AM,4/20/2022 0:00,2022,,
"Wayne Family Practice Associates, PC",GA,Healthcare Provider,5944,4/19/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,4/19/2022 0:00,2022,,
"Fairfield County Implants and Periodontics, LLC",CT,Healthcare Provider,10502,4/19/2022,Hacking/IT Incident,Email,No,12:00:00 AM,4/19/2022 0:00,2022,,
"Optima Dermatology Holdings, LLC",NH,Healthcare Provider,59872,4/18/2022,Hacking/IT Incident,Email,No,12:00:00 AM,4/18/2022 0:00,2022,,
"HealthActions, P.A.",AL,Healthcare Provider,2369,4/18/2022,Hacking/IT Incident,Email,No,12:00:00 AM,4/18/2022 0:00,2022,,
Canon Business Process Services Inc,NY,Business Associate,1625,4/15/2022,Unauthorized Access/Disclosure,Paper/Films,Yes,12:00:00 AM,4/15/2022 0:00,2022,,
Canon Business Process Services Inc,NY,Business Associate,745,4/15/2022,Unauthorized Access/Disclosure,Paper/Films,Yes,12:00:00 AM,4/15/2022 0:00,2022,,
Canon Business Process Services Inc,NY,Business Associate,8015,4/15/2022,Unauthorized Access/Disclosure,Paper/Films,Yes,12:00:00 AM,4/15/2022 0:00,2022,,
Spectrum Health System,MI,Healthcare Provider,794,4/15/2022,Unauthorized Access/Disclosure,Electronic Medical Record,No,12:00:00 AM,4/15/2022 0:00,2022,,
New Creation Counseling Center,OH,Healthcare Provider,24029,4/14/2022,Hacking/IT Incident,"Network Server, Other",No,12:00:00 AM,4/14/2022 0:00,2022,,
Newman Regional Health,KS,Healthcare Provider,52224,4/14/2022,Hacking/IT Incident,Email,No,12:00:00 AM,4/14/2022 0:00,2022,,
Onehome Health Solutions,FL,Healthcare Provider,15401,4/13/2022,Theft,Laptop,No,12:00:00 AM,4/13/2022 0:00,2022,,
Lutheran Services Carolinas,NC,Business Associate,1226,4/12/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,4/12/2022 0:00,2022,,
Adaptive Health Integrations,ND,Healthcare Provider,510574,4/11/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,4/11/2022 0:00,2022,,
Chinese Community Health Plan,CA,Health Plan,502,4/11/2022,Unauthorized Access/Disclosure,Paper/Films,No,12:00:00 AM,4/11/2022 0:00,2022,,
Von Behren & Hunter LLP,CA,Business Associate,5852,4/11/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,4/11/2022 0:00,2022,,
Altoona Area School District Health Plan,PA,Health Plan,9196,4/11/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,4/11/2022 0:00,2022,,
The MetroHealth System,OH,Healthcare Provider,1748,4/11/2022,Unauthorized Access/Disclosure,"Electronic Medical Record, Email, Paper/Films",No,12:00:00 AM,4/11/2022 0:00,2022,,
"Pediatric Associates, P.C.",VA,Healthcare Provider,13000,4/8/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,4/8/2022 0:00,2022,,
Ballad Health,TN,Healthcare Provider,4295,4/8/2022,Hacking/IT Incident,Email,No,12:00:00 AM,4/8/2022 0:00,2022,,
Georgia Pines CSB,GA,Healthcare Provider,24000,4/8/2022,Theft,"Laptop, Other",No,12:00:00 AM,4/8/2022 0:00,2022,,
East Tennessee Children's Hospital,TN,Healthcare Provider,501,4/7/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,4/7/2022 0:00,2022,,
SummaCare Inc,OH,Health Plan,716,4/7/2022,Unauthorized Access/Disclosure,Network Server,No,12:00:00 AM,4/7/2022 0:00,2022,,
Bishop Eye Center,SC,Healthcare Provider,2292,4/7/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,4/7/2022 0:00,2022,,
Advantage Benefits Group,MI,Business Associate,7147,4/6/2022,Hacking/IT Incident,Email,Yes,12:00:00 AM,4/6/2022 0:00,2022,,
State of Arizona Department of Administration,AZ,Health Plan,820,4/5/2022,Unauthorized Access/Disclosure,Paper/Films,Yes,12:00:00 AM,4/5/2022 0:00,2022,,
River City Insurance Group d/b/a Lavinder Group & Associates,VA,Business Associate,1118,4/5/2022,Hacking/IT Incident,Email,Yes,12:00:00 AM,4/5/2022 0:00,2022,,
Urgent Team Holdings,TN,Healthcare Provider,166601,3/31/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,3/31/2022 0:00,2022,,
Englewood Health,NJ,Healthcare Provider,3901,3/30/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,3/30/2022 0:00,2022,,
Resources for Human Development,PA,Healthcare Provider,46673,3/29/2022,Theft,Other Portable Electronic Device,No,12:00:00 AM,3/29/2022 0:00,2022,,
"Law Enforcement Health Benefits, Inc.",PA,Health Plan,85282,3/28/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,3/28/2022 0:00,2022,,
Medical Surgical Eye Care,KS,Healthcare Provider,2000,3/28/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,3/28/2022 0:00,2022,,
"Super Care, Inc. dba SuperCare Health",CA,Healthcare Provider,317863,3/28/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,3/28/2022 0:00,2022,,
"Charleston Area Medical Center, Inc.",WV,Healthcare Provider,54000,3/28/2022,Hacking/IT Incident,Email,No,12:00:00 AM,3/28/2022 0:00,2022,,
"Colorado Physician Partners, PLLC",CO,Healthcare Provider,12877,3/25/2022,Hacking/IT Incident,Email,No,12:00:00 AM,3/25/2022 0:00,2022,,
Lutheran Social Services of Illinois,IL,Healthcare Provider,1000,3/25/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,3/25/2022 0:00,2022,,
"Christie Business Holdings Company, P.C.",IL,Healthcare Provider,502869,3/25/2022,Hacking/IT Incident,Email,No,12:00:00 AM,3/25/2022 0:00,2022,,
Advanced Medical Practice Management,NJ,Business Associate,56427,3/23/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,3/23/2022 0:00,2022,,
"Thomas Allen, Inc.",MN,Healthcare Provider,2803,3/23/2022,Hacking/IT Incident,Email,No,12:00:00 AM,3/23/2022 0:00,2022,,
Taylor Regional Hospital,KY,Healthcare Provider,190209,3/21/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,3/21/2022 0:00,2022,,
Livingston Memorial VNA Health Corporation and its affiliates Livingston Memorial Visiting Nurse Association and Livingston CareGivers,CA,Healthcare Provider,34775,3/21/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,3/21/2022 0:00,2022,,
Valley View Hospital Association,CO,Healthcare Provider,501,3/19/2022,Hacking/IT Incident,Email,No,12:00:00 AM,3/19/2022 0:00,2022,,
Cancer and Hematology Centers of Western Michigan,MI,Healthcare Provider,43071,3/18/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,3/18/2022 0:00,2022,,
Wheeling Health Right Inc,WV,Healthcare Provider,3912,3/18/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,3/18/2022 0:00,2022,,
"Clinic of North Texas, LLP",TX,Healthcare Provider,244174,3/18/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,3/18/2022 0:00,2022,,
Central Minnesota Mental Health Center,MN,Healthcare Provider,28725,3/17/2022,Hacking/IT Incident,Email,No,12:00:00 AM,3/17/2022 0:00,2022,,
Eye Group of Southern Indiana,IN,Healthcare Provider,4002,3/15/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,3/15/2022 0:00,2022,,
"Trinity Home Care, Inc.",MA,Healthcare Provider,1541,3/14/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,3/14/2022 0:00,2022,,
Capital Region Medical Center,MO,Healthcare Provider,17578,3/11/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,3/11/2022 0:00,2022,,
Major League Baseball Players Benefit Plan,MD,Health Plan,13156,3/11/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,3/11/2022 0:00,2022,,
Labette Health,KS,Healthcare Provider,85635,3/11/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,3/11/2022 0:00,2022,,
"Dialyze Direct, LLC",NJ,Healthcare Provider,14203,3/10/2022,Hacking/IT Incident,Email,No,12:00:00 AM,3/10/2022 0:00,2022,,
New Jersey Brain and Spine,NJ,Healthcare Provider,92453,3/10/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,3/10/2022 0:00,2022,,
"Gainwell Technologies, LLC",TX,Business Associate,810,3/10/2022,Unauthorized Access/Disclosure,Network Server,Yes,12:00:00 AM,3/10/2022 0:00,2022,,
"Gainwell Technologies, LLC",TX,Business Associate,1955,3/10/2022,Unauthorized Access/Disclosure,Network Server,Yes,12:00:00 AM,3/10/2022 0:00,2022,,
"Parkland Community Health Plan, Inc.",TX,Health Plan,1682,3/8/2022,Unauthorized Access/Disclosure,Paper/Films,Yes,12:00:00 AM,3/8/2022 0:00,2022,,
Central Indiana Orthopedics,IN,Healthcare Provider,83705,3/7/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,3/7/2022 0:00,2022,,
"South Denver Cardiology Associates, PC",CO,Healthcare Provider,287652,3/4/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,3/4/2022 0:00,2022,,
"Duncan Regional Hospital, Incorporated",OK,Healthcare Provider,86379,3/4/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,3/4/2022 0:00,2022,,
"Indiana Hemophilia and Thrombosis Center, Inc.",IN,Healthcare Provider,2575,3/4/2022,Hacking/IT Incident,Email,No,12:00:00 AM,3/4/2022 0:00,2022,,
Familylinks,PA,Healthcare Provider,1494,3/4/2022,Hacking/IT Incident,"Electronic Medical Record, Network Server",Yes,12:00:00 AM,3/4/2022 0:00,2022,,
University of Michigan/Michigan Medicine,MI,Healthcare Provider,2921,3/3/2022,Hacking/IT Incident,Email,No,12:00:00 AM,3/3/2022 0:00,2022,,
"Molecular Pathology Laboratory Network, Inc.",TN,Healthcare Provider,339471,3/3/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,3/3/2022 0:00,2022,,
Crossroads Health,OH,Healthcare Provider,10324,3/2/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,3/2/2022 0:00,2022,,
"LGAA, LLC",UT,Health Plan,864,3/1/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,3/1/2022 0:00,2022,,
"Monongalia Health System, Inc.",WV,Healthcare Provider,492861,2/28/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,2/28/2022 0:00,2022,,
"UMass Memorial Health, Inc.",MA,Business Associate,4270,2/28/2022,Hacking/IT Incident,Email,Yes,12:00:00 AM,2/28/2022 0:00,2022,,
Montrose Regional Health,CO,Healthcare Provider,52632,2/25/2022,Hacking/IT Incident,Email,No,12:00:00 AM,2/25/2022 0:00,2022,,
"First Step of Sarasota, Inc.",FL,Healthcare Provider,1858,2/25/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,2/25/2022 0:00,2022,,
Norwood Clinic,AL,Healthcare Provider,228000,2/25/2022,Hacking/IT Incident,"Electronic Medical Record, Network Server",No,12:00:00 AM,2/25/2022 0:00,2022,,
Bako Diagnostics,GA,Healthcare Provider,25745,2/25/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,2/25/2022 0:00,2022,,
University Medical Center Southern Nevada,NV,Healthcare Provider,12230,2/24/2022,Hacking/IT Incident,Email,Yes,12:00:00 AM,2/24/2022 0:00,2022,,
Houston Health Department,TX,Healthcare Provider,10291,2/24/2022,Unauthorized Access/Disclosure,Electronic Medical Record,No,12:00:00 AM,2/24/2022 0:00,2022,,
"Ultimate Care, Inc.",NY,Healthcare Provider,15788,2/23/2022,Hacking/IT Incident,Email,No,12:00:00 AM,2/23/2022 0:00,2022,,
Cooperman Barnabas Medical Center,NJ,Healthcare Provider,538,2/23/2022,Hacking/IT Incident,Email,Yes,12:00:00 AM,2/23/2022 0:00,2022,,
"Alliance Physical Therapy Group, LLC",MI,Business Associate,197588,2/23/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,2/23/2022 0:00,2022,,
"Community Association of Progressive Dominicans, Inc.",NY,Healthcare Provider,656,2/23/2022,Hacking/IT Incident,Email,No,12:00:00 AM,2/23/2022 0:00,2022,,
Zoe Therapy Services,VA,Healthcare Provider,1100,2/23/2022,Hacking/IT Incident,Email,No,12:00:00 AM,2/23/2022 0:00,2022,,
Logan Health Medical Center,MT,Healthcare Provider,213543,2/22/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,2/22/2022 0:00,2022,,
Ascension Michigan (single affiliated covered entity) ACE,MI,Healthcare Provider,27177,2/22/2022,Unauthorized Access/Disclosure,Electronic Medical Record,No,12:00:00 AM,2/22/2022 0:00,2022,,
Memorial village er,TX,Healthcare Provider,80000,2/19/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,2/19/2022 0:00,2022,,
"US Radiology Specialists, Inc.",NC,Business Associate,87552,2/18/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,2/18/2022 0:00,2022,,
"Bible Fellowship Church Homes, Inc. dba Fellowship Community",PA,Healthcare Provider,3500,2/18/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,2/18/2022 0:00,2022,,
"Town Home Care, LLC",NJ,Healthcare Provider,5591,2/17/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,2/17/2022 0:00,2022,,
Jersey City Medical Center,NJ,Healthcare Provider,1130,2/15/2022,Hacking/IT Incident,Email,Yes,12:00:00 AM,2/15/2022 0:00,2022,,
Aetna ACE,CT,Health Plan,893,2/15/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,2/15/2022 0:00,2022,,
Cooper University Health Care,NJ,Healthcare Provider,1039,2/14/2022,Hacking/IT Incident,Email,No,12:00:00 AM,2/14/2022 0:00,2022,,
Family Fare LLC,MI,Healthcare Provider,3892,2/11/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,2/11/2022 0:00,2022,,
CVS Pharmacy,RI,Healthcare Provider,6221,2/11/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,2/11/2022 0:00,2022,,
"Jacksonville Spine Center, P.A.",FL,Healthcare Provider,38000,2/10/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,2/10/2022 0:00,2022,,
"Summit BHC West Virginia, LLC d/b/a Highland Hospital",WV,Healthcare Provider,1298,2/10/2022,Hacking/IT Incident,Email,No,12:00:00 AM,2/10/2022 0:00,2022,,
Seneca Nation Health System,NY,Healthcare Provider,12000,2/8/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,2/8/2022 0:00,2022,,
South Shore Hospital Corporation,IL,Healthcare Provider,115175,2/7/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,2/7/2022 0:00,2022,,
"Cross Timbers Health Clinics, Inc/ d/b/a AccelHealth",TX,Healthcare Provider,48126,2/7/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,2/7/2022 0:00,2022,,
Hofmann Arthritis Institute PLLC and Hofmann Arthritis Institute of Nevada PLLC,UT,Healthcare Provider,13320,2/4/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,2/4/2022 0:00,2022,,
Oklahoma Healthcare Authority (OHCA),OK,Health Plan,8629,2/3/2022,Unauthorized Access/Disclosure,Network Server,Yes,12:00:00 AM,2/3/2022 0:00,2022,,
"Morley Companies, Inc.",MI,Business Associate,521046,2/1/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,2/1/2022 0:00,2022,,
North Shore University Hospital,NY,Healthcare Provider,7614,2/1/2022,Unauthorized Access/Disclosure,Electronic Medical Record,No,12:00:00 AM,2/1/2022 0:00,2022,,
"Catholic Hospice, Inc.",FL,Healthcare Provider,14986,1/31/2022,Hacking/IT Incident,Email,No,12:00:00 AM,1/31/2022 0:00,2022,,
Family Christian Health Center,IL,Healthcare Provider,31000,1/28/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,1/28/2022 0:00,2022,,
Spencer Gifts LLC Health and Welfare Benefit Plan,NJ,Health Plan,10023,1/24/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,1/24/2022 0:00,2022,,
OneDigital OBO Guardian Life Insurance Company of America,NY,Business Associate,800,1/24/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,1/24/2022 0:00,2022,,
"Medical Healthcare Solutions, Inc.",MA,Business Associate,133997,1/22/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,1/22/2022 0:00,2022,,
Walgreen Co.,IL,Healthcare Provider,1471,1/21/2022,Unauthorized Access/Disclosure,Paper/Films,No,12:00:00 AM,1/21/2022 0:00,2022,,
University of Arkansas for Medical Sciences,AR,Healthcare Provider,518,1/21/2022,Unauthorized Access/Disclosure,Email,No,12:00:00 AM,1/21/2022 0:00,2022,,
"Allegheny Health Network Home Infusion, LLC",PA,Healthcare Provider,15342,1/21/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,1/21/2022 0:00,2022,,
"Advocates, Inc.",MA,Healthcare Provider,68236,1/21/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,1/21/2022 0:00,2022,,
"DataHEALTH, Inc.",TX,Business Associate,2459,1/20/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,1/20/2022 0:00,2022,,
Medical Review Institute of America,UT,Business Associate,2406,1/20/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,1/20/2022 0:00,2022,,
"Walworth County, Wisconsin",WI,Healthcare Provider,500,1/18/2022,Hacking/IT Incident,Email,No,12:00:00 AM,1/18/2022 0:00,2022,,
Raveco Medical,NY,Healthcare Provider,4897,1/17/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,1/17/2022 0:00,2022,,
"Fiondella, Milone & LaSaracina, LLP",CT,Business Associate,6215,1/14/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,1/14/2022 0:00,2022,,
Albany Family Dentistry,MN,Healthcare Provider,1117,1/14/2022,Hacking/IT Incident,Email,No,12:00:00 AM,1/14/2022 0:00,2022,,
South City Hospital,MO,Healthcare Provider,21601,1/14/2022,Theft,"Network Server, Other",No,12:00:00 AM,1/14/2022 0:00,2022,,
"Vantage Holding Company, LLC",PA,Healthcare Provider,1762,1/14/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,1/14/2022 0:00,2022,,
"Digital Insurance, LLC doing business as OneDigital",GA,Business Associate,2051,1/14/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,1/14/2022 0:00,2022,,
Oscar Insurance Corporation of Ohio,OH,Health Plan,504,1/13/2022,Unauthorized Access/Disclosure,Paper/Films,No,12:00:00 AM,1/13/2022 0:00,2022,,
Oscar Health Plan of California,NJ,Health Plan,7632,1/13/2022,Unauthorized Access/Disclosure,Paper/Films,No,12:00:00 AM,1/13/2022 0:00,2022,,
Oscar Buckeye State Insurance Corporation,OH,Health Plan,791,1/13/2022,Unauthorized Access/Disclosure,Paper/Films,No,12:00:00 AM,1/13/2022 0:00,2022,,
Millennium Eye Care LLC,NJ,Healthcare Provider,6050,1/13/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,1/13/2022 0:00,2022,,
"Lakeshore Bone & Joint Institute, PC",IN,Healthcare Provider,23627,1/10/2022,Hacking/IT Incident,Email,No,12:00:00 AM,1/10/2022 0:00,2022,,
Medical Review Institute of America,UT,Business Associate,134571,1/7/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,1/7/2022 0:00,2022,,
DataXport,TX,Business Associate,8181,1/7/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,1/7/2022 0:00,2022,,
"Advent Health Partners, Inc.",TN,Business Associate,1383,1/6/2022,Hacking/IT Incident,Email,Yes,12:00:00 AM,1/6/2022 0:00,2022,,
"Houston Area Community Services, Inc. d/b/a Avenue 360 Health and Wellness",TX,Healthcare Provider,12186,1/5/2022,Hacking/IT Incident,Email,No,12:00:00 AM,1/5/2022 0:00,2022,,
Ravkoo,FL,Healthcare Provider,105000,1/3/2022,Hacking/IT Incident,Other,No,12:00:00 AM,1/3/2022 0:00,2022,,
"Sherrill House, Inc.",MA,Healthcare Provider,5006,1/3/2022,Hacking/IT Incident,Email,No,12:00:00 AM,1/3/2022 0:00,2022,,
North Broward Hospital District d/b/a Broward Health (“Broward Health”),FL,Healthcare Provider,1351431,1/2/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,1/2/2022 0:00,2022,,
"Virtual Private Network Solutions, LLC d/b/a VPN Solutions, LLC",VA,Business Associate,500,12/30/2021,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,12/30/2021 0:00,2021,,
Barlow Respiratory Hospital,CA,Healthcare Provider,9880,12/30/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,12/30/2021 0:00,2021,,
Loyola University Medical Center,IL,Healthcare Provider,16934,12/30/2021,Hacking/IT Incident,Email,No,12:00:00 AM,12/30/2021 0:00,2021,,
"Hoya Optical Labs of America, Inc.",TX,Business Associate,14099,12/29/2021,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,12/29/2021 0:00,2021,,
Douglas C Morrow ODPC,IN,Healthcare Provider,5269,12/28/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,12/28/2021 0:00,2021,,
"Pithadia Medical Professional Services, Inc.",IN,Healthcare Provider,1624,12/28/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,12/28/2021 0:00,2021,,
Advocate Aurora Health,WI,Healthcare Provider,1729,12/28/2021,Loss,Paper/Films,No,12:00:00 AM,12/28/2021 0:00,2021,,
Walgreen Co.,IL,Healthcare Provider,1352,12/27/2021,Loss,Paper/Films,No,12:00:00 AM,12/27/2021 0:00,2021,,
"Fertility Centers of Illinois, PLLC",IL,Healthcare Provider,79943,12/27/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,12/27/2021 0:00,2021,,
C.E. Niehoff & Company,IL,Health Plan,1509,12/23/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,12/23/2021 0:00,2021,,
Duneland School Corporation,IN,Health Plan,7000,12/23/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,12/23/2021 0:00,2021,,
"Daniel J. Edelman Holdings, Inc.",IL,Health Plan,184500,12/22/2021,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,12/22/2021 0:00,2021,,
"James Kagan, MD",CO,Healthcare Provider,1310,12/22/2021,Hacking/IT Incident,Email,No,12:00:00 AM,12/22/2021 0:00,2021,,
